A,D,T,V
915420,20200101,23,0
915420,20200102,-7,0
915420,20200103,15,0
915420,20200104,11,0
915420,20200105,10,0
915420,20200106,6,0
915420,20200107,-36,0
915420,20200108,-34,0
915420,20200109,-6,0
915420,20200110,36,0
915420,20200111,26,0
915420,20200112,35,0
915420,20200113,21,0
915420,20200114,18,0
915420,20200115,-10,0
915420,20200116,-11,0
915420,20200117,-5,0
915420,20200118,12,0
915420,20200119,19,0
915420,20200120,13,0
915420,20200121,-12,0
915420,20200122,8,0
915420,20200123,28,0
915420,20200124,-5,0
915420,20200125,34,0
915420,20200126,32,0
915420,20200127,28,0
915420,20200128,70,0
915420,20200129,61,0
915420,20200130,33,0
915420,20200131,24,0
915420,20200201,88,0
915420,20200202,110,0
915420,20200203,134,0
915420,20200204,59,0
915420,20200205,57,0
915420,20200206,-4,0
915420,20200207,-21,0
915420,20200208,-60,0
915420,20200209,-18,0
915420,20200210,-14,0
915420,20200211,47,0
915420,20200212,79,0
915420,20200213,51,0
915420,20200214,24,0
915420,20200215,74,0
915420,20200216,66,0
915420,20200217,53,0
915420,20200218,66,0
915420,20200219,77,0
915420,20200220,66,0
915420,20200221,41,0
915420,20200222,55,0
915420,20200223,61,0
915420,20200224,121,0
915420,20200225,59,0
915420,20200226,91,0
915420,20200227,94,0
915420,20200228,48,0
915420,20200229,51,0
915420,20200301,58,0
915420,20200302,87,0
915420,20200303,114,0
915420,20200304,112,0
915420,20200305,111,0
915420,20200306,106,0
915420,20200307,107,0
915420,20200308,95,0
915420,20200309,87,0
915420,20200310,104,0
915420,20200311,107,0
915420,20200312,113,0
915420,20200313,131,0
915420,20200314,107,0
915420,20200315,52,0
915420,20200316,10,0
915420,20200317,60,0
915420,20200318,65,0
915420,20200319,78,0
915420,20200320,113,0
915420,20200321,131,0
915420,20200322,83,0
915420,20200323,23,0
915420,20200324,21,0
915420,20200325,53,0
915420,20200326,97,0
915420,20200327,125,0
915420,20200328,103,0
915420,20200329,110,0
915420,20200330,119,0
915420,20200331,70,0
915420,20200401,37,0
915420,20200402,72,0
915420,20200403,68,0
915420,20200404,86,0
915420,20200405,120,0
915420,20200406,106,0
915420,20200407,80,0
915420,20200408,91,0
915420,20200409,113,0
915420,20200410,136,0
915420,20200411,128,0
915420,20200412,99,0
915420,20200413,113,0
915420,20200414,146,0
915420,20200415,74,0
915420,20200416,91,0
915420,20200417,138,0
915420,20200418,142,0
915420,20200419,167,0
915420,20200420,131,0
915420,20200421,90,0
915420,20200422,86,0
915420,20200423,98,0
915420,20200424,111,0
915420,20200425,144,0
915420,20200426,128,0
915420,20200427,135,0
915420,20200428,132,0
915420,20200429,158,0
915420,20200430,187,0
915420,20200501,163,0
915420,20200502,181,0
915420,20200503,156,0
915420,20200504,149,0
915420,20200505,163,0
915420,20200506,153,0
915420,20200507,118,0
915420,20200508,126,0
915420,20200509,147,0
915420,20200510,167,0
915420,20200511,206,0
915420,20200512,210,0
915420,20200513,156,0
915420,20200514,193,0
915420,20200515,189,0
915420,20200516,198,0
915420,20200517,200,0
915420,20200518,207,0
915420,20200519,199,0
915420,20200520,203,0
915420,20200521,131,0
915420,20200522,142,0
915420,20200523,144,0
915420,20200524,147,0
915420,20200525,148,0
915420,20200526,142,0
915420,20200527,140,0
915420,20200528,146,0
915420,20200529,144,0
915420,20200530,146,0
915420,20200531,155,0
915420,20200601,210,0
915420,20200602,221,0
915420,20200603,236,0
915420,20200604,288,0
915420,20200605,275,0
915420,20200606,243,0
915420,20200607,265,0
915420,20200608,270,0
915420,20200609,274,0
915420,20200610,285,0
915420,20200611,297,0
915420,20200612,290,0
915420,20200613,293,0
915420,20200614,333,0
915420,20200615,321,0
915420,20200616,280,0
915420,20200617,233,0
915420,20200618,243,0
